x,y
89653.9564,43131.2322
89660.3701,43128.8083
89660.509,43124.861
89649.4596,43124.3081
89648.6402,43116.6203
89638.2856,43126.8253
89633.442,43121.0013
89616.1222,43160.9913
89609.1719,43158.4288
89618.9245,43162.9003
89624.661,43167.9154
89636.3681,43134.0358
89640.9988,43140.2507
89652.2787,43141.9148
89644.5503,43141.8088
89631.4411,43173.9233
89626.2314,43170.7337
89623.2461,43178.4697
89615.5061,43178.1937
89643.9383,43183.9614
89669.79,43150.4041
89663.6775,43143.8038
89653.3098,43142.7365
89659.7516,43142.2478
89616.8206,43171.1074
89610.8274,43167.8585
89618.9163,43173.7253
89616.6346,43186.1062
89625.7822,43192.448
89660.3646,43193.0885
89669.3037,43180.8989
89659.391,43165.8863
89670.4846,43174.9868
89684.0022,43161.5253
89663.1231,43173.9713
89649.3881,43169.6665
89681.8206,43150.0873
89675.9032,43144.9979
89672.756,43143.0433
89644.754,43125.2564
89653.6202,43129.6734
89656.837,43183.8298
89651.7407,43176.4758
89644.6113,43175.4674
89640.5294,43167.6824
89644.6194,43160.5758
89659.3758,43155.451
89665.2694,43158.3759
89660.0042,43181.0438
89640.1858,43176.9552
89635.0373,43178.7556
89668.8152,43167.8499
89677.318,43156.4384
89661.4996,43151.3004
89655.1571,43147.332
89608.7082,43163.4473
89609.3983,43165.7638
89608.6178,43160.7543
89613.0761,43169.7506
89611.5567,43168.6561
89614.948,43170.662
89620.6261,43170.8405
89618.6839,43171.0665
89622.8698,43169.6271
89644.9958,43135.8698
89643.2726,43136.1544
89646.3,43138.4931
89622.2369,43172.6977
89620.0666,43173.2895
89624.4204,43172.2514
89615.8315,43176.9419
89615.1214,43182.0483
89615.211,43179.6199
89615.4236,43184.2022
89621.1338,43189.7129
89618.559,43187.7891
89623.4225,43191.2812
89636.8337,43188.9262
89631.3612,43192.7221
89628.2198,43193.0578
89634.0403,43191.5841
89638.6675,43186.2065
89641.7903,43183.6069
89645.2942,43184.7449
89653.5262,43190.2358
89655.97,43191.7475
89646.2357,43185.4251
89666.1477,43187.5895
89663.777,43191.1219
89668.7383,43183.2955
89666.6932,43176.3842
89668.4758,43178.5936
89664.8966,43175.0495
89656.1405,43170.5074
89651.9605,43170.1154
89659.7796,43172.0639
89648.2161,43168.3662
89648.3945,43168.9263
89648.4254,43167.0006
89653.9062,43164.5645
89650.2761,43166.0865
89657.1297,43163.3433
89660.1458,43165.1604
89663.9832,43172.9778
89660.2621,43170.5582
89666.8255,43174.5763
89679.5421,43166.7244
89676.8209,43170.8638
89680.5082,43165.0225
89674.6563,43173.7688
89681.8259,43163.652
89678.3134,43168.6208
89683.0701,43154.007
89683.8264,43157.5561
89682.8347,43152.2419
89677.4351,43146.0771
89680.0499,43147.6771
89674.0053,43143.8322
89667.9486,43143.1366
89665.1887,43143.5675
89671.2396,43142.7811
89659.2436,43135.4418
89659.8483,43132.6161
89659.1412,43138.9532
89616.8087,43162.994
89616.2023,43161.9083
89617.7219,43163.3925
89640.1769,43128.4164
89638.3215,43131.2716
89642.2368,43126.5391
89650.9137,43125.248
89649.0361,43124.3736
89652.6881,43127.552
89652.9542,43139.3682
89653.3067,43136.5747
89652.7585,43140.5622
89625.8814,43176.7497
89624.4684,43177.2022
89628.2214,43176.7419
89624.2271,43182.3886
89622.9749,43180.3974
89626.7122,43183.9357
89631.4828,43184.3341
89633.3825,43180.5095
89637.4866,43177.4448
89648.9592,43178.4857
89644.4725,43177.2961
89653.4728,43181.0823
89659.8638,43183.4191
89656.1372,43178.6837
89658.8994,43180.1271
89654.3098,43177.4369
89648.324,43176.1008
